#;Temperatura;T;K
#;Entalpia;h;kJ/kg
#;Presion relativa;Pr;
#;Energia interna;u;kJ/kg
#;Volumen relativo;Vr;
#;Entropia;S;kJ/(kg*K)
1680.00;1855.50;974.20;1373.24;4.95;3.58
1700.00;1880.10;1025.00;1392.70;4.76;3.60
1750.00;1941.60;1161.00;1439.80;4.33;3.63
1800.00;2003.30;1310.00;1487.20;3.99;3.67
1850.00;2065.30;1475.00;1534.90;3.60;3.70
1900.00;2127.40;1655.00;1582.60;3.30;3.74
1950.00;2189.70;1852.00;1630.60;3.02;3.77
2000.00;2252.10;2068.00;1678.70;2.78;3.80
2050.00;2314.60;2303.00;1726.80;2.56;3.83
2100.00;2377.70;2559.00;1775.30;2.36;3.86
2150.00;2440.30;2837.00;1823.80;2.18;3.89
2200.00;2503.20;3138.00;1872.40;2.01;3.92
2250.00;2566.40;3464.00;1921.30;1.86;3.95
