#;Temperatura;T;C
#;Presion;P;kPa
#;Volumen especifico del liquido;Vl;m3/kg
#;Volumen especifico del vapor;Vv;m3/kg
#;Energia interna del liquido;ul;kJ/kg
#;Energia interna de evaporacion;uevap;kJ/kg
#;Energia interna del vapor;uv;kJ/kg
#;Entalpia del liquido;hl;kJ/kg
#;Entalpia de evaporacion;hevap;kJ/kg
#;Entalpia del vapor;hv;kJ/kg
#;Entropia del liquido;sl;kJ/(kg*K)
#;Entropia de evaporacion;sevap;kJ/(kg*K)
#;Entropia del vapor;sv;kJ/(kg*K)
15.71;500;0.0008059;0.041118;72.93;165.82;238.75;73.33;185.98;259.3;0.28023;0.64377;0.924
16;504.58;0.0008066;0.040748;73.32;165.58;238.9;73.73;185.73;259.46;0.28159;0.6423;0.92389
18;537.52;0.0008113;0.038271;76.08;163.88;239.96;76.52;184.01;260.53;0.29112;0.63198;0.9231
18.73;550;0.000813;0.037408;77.1;163.25;240.35;77.54;183.38;250.92;0.29461;0.62821;0.92282
20;572.07;0.0008161;0.035969;78.86;162.16;241.02;79.32;182.27;261.59;0.30063;0.62172;0.92234
21.55;600;0.0008199;0.034295;81.02;160.81;241.83;81.51;180.9;262.4;0.30799;0.61378;0.92177
22;608.27;0.000821;0.033828;81.64;160.42;242.06;82.14;180.49;262.64;0.31011;0.61149;0.9216
24;646.18;0.0008261;0.031834;84.44;158.65;243.1;84.98;178.69;263.67;0.31958;0.6013;0.92088
24.2;650;0.0008266;0.031646;84.72;158.48;243.2;85.26;178.51;263.77;0.32051;0.6003;0.92081
26;685.84;0.0008313;0.029976;87.26;156.87;244.12;87.83;176.85;264.68;0.32903;0.59115;0.92018
26.69;700;0.0008331;0.029361;88.24;156.24;244.48;88.82;176.21;265.03;0.3323;0.58763;0.91994
28;727.31;0.0008366;0.028242;90.09;155.05;245.14;90.69;174.99;265.68;0.33846;0.58102;0.91948
29.06;750;0.0008395;0.027371;91.59;154.08;245.67;92.22;173.98;266.2;0.34345;0.57567;0.91912
30;770.64;0.0008421;0.026622;92.93;153.22;246.14;93.58;173.08;266.66;0.34789;0.57091;0.91879
31.31;800;0.0008458;0.025621;94.79;152;246.79;95.47;171.82;267.29;0.35404;0.56431;0.91835
32;815.89;0.0008478;0.025108;95.79;151.35;247.14;96.48;171.14;267.62;0.3573;0.56082;0.91811
33.45;850;0.000852;0.024069;97.87;149.98;247.85;98.6;169.71;268.31;0.36413;0.55349;0.91762
